ID,Year,Semester,course,Gender,AS,StudentsGrade,InstructorsGrade
31C02,2016,Spring,MATH 2222,M,test1,42,18
41A15,2016,Spring,MATH1120,F,test3,70,18
21B13,2016,Spring,192,M,quiz4,50,20
21B3,2016,Spring,192,F,quiz1,50,20
21C9,2016,Spring,192,M,quiz6,50,20
21B27,2016,Spring,192,F,quiz6,60,20
21D5,2016,Spring,320,F,quiz1,60,20
23A14,2016,Fall,MAT192,F,Quiz2,60,20
21B24,2016,Spring,192,M,quiz5,70,20
23B11,2016,Fall,MAT192,F,Quiz2,70,20
21B25,2016,Spring,192,M,quiz6,80,20
31A08,2016,Spring,MATH 2204,F,Final,80,20
23B7,2016,Fall,MAT192,M,Quiz2,80,20
23B7,2016,Fall,MAT192,M,Quiz8,80,20
21B22,2016,Spring,192,F,quiz2,100,20
41A15,2016,Spring,MATH1120,F,Final,63,21
41A15,2016,Spring,MATH1120,F,test1,70,21
31A03,2016,Spring,MATH 2204,M,Final,50,22
11A9,2016,Spring,Math 1111,F,Quiz4,54,22
13A14,2016,Fall,Math1113,M,Quiz8,81,22
21B24,2016,Spring,192,M,final,65,23
31A06,2016,Spring,MATH 2204,F,test1,75,23
31B22,2016,Spring,MATH 2204,M,FINAL,70,24
31B03,2016,Spring,MATH 2204,F,FINAL,80,24
13C9,2016,Fall,Math1111,M,Quiz1,60,27
13C9,2016,Fall,Math1111,M,Quiz2,60,27
13C9,2016,Fall,Math1111,M,Quiz4,60,27
13C9,2016,Fall,Math1111,M,Quiz5,60,27
13C9,2016,Fall,Math1111,M,Test2,60,27
31A12,2016,Spring,MATH 2204,F,test1,70,28
21B28,2016,Spring,192,M,quiz3,30,30
21B6,2016,Spring,192,M,quiz1,30,30
21D11,2016,Spring,320,M,quiz4,30,30
21D5,2016,Spring,320,F,quiz3,30,30
23A2,2016,Fall,MAT192,M,Test1,38,30
21D6,2016,Spring,320,M,quiz3,40,30
21B18,2016,Spring,192,M,quiz3,50,30
21B23,2016,Spring,192,M,quiz6,50,30
21C11,2016,Spring,192,M,quiz6,50,30
23A15,2016,Fall,MAT192,F,Quiz5,50,30
23A20,2016,Fall,MAT192,M,Quiz5,50,30
23B17,2016,Fall,MAT192,F,Quiz4,50,30
21B17,2016,Spring,192,M,quiz2,60,30
21B5,2016,Spring,192,M,quiz3,60,30
21C18,2016,Spring,192,M,quiz6,60,30
23A20,2016,Fall,MAT192,M,Quiz2,60,30
21A3,2016,Spring,191,F,quiz8,70,30
21C7,2016,Spring,192,M,quiz6,70,30
23A2,2016,Fall,MAT192,M,Quiz3,70,30
23A2,2016,Fall,MAT192,M,Quiz8,70,30
23A7,2016,Fall,MAT192,M,Quiz8,70,30
23B17,2016,Fall,MAT192,F,Quiz7,70,30
21C25,2016,Spring,192,M,quiz6,75,30
21B17,2016,Spring,192,M,quiz1,80,30
21C4,2016,Spring,192,M,quiz6,80,30
23A10,2016,Fall,MAT192,M,Quiz2,80,30
23B11,2016,Fall,MAT192,F,Quiz3,80,30
23B7,2016,Fall,MAT192,M,Quiz4,80,30
21B16,2016,Spring,192,M,quiz2,90,30
21B9,2016,Spring,192,M,quiz6,90,30
21B17,2016,Spring,192,M,quiz6,100,30
21B24,2016,Spring,192,M,quiz2,100,30
21B24,2016,Spring,192,M,quiz3,100,30
21B25,2016,Spring,192,M,quiz2,100,30
23B8,2016,Fall,MAT192,M,Quiz8,100,30
13B10,2016,Fall,Math3650,M,Quiz2,60,31
13B15,2016,Fall,Math3650,M,Quiz5,60,31
13B20,2016,Fall,Math3650,M,Test2,60,31
41A20,2016,Spring,MATH1120,M,Final,33,32
31A07,2016,Spring,MATH 2204,M,Final,75,32
11A19,2016,Spring,Math 1111,M,Quiz4,44,33
31A09,2016,Spring,MATH 2204,F,quiz2,50,33
13C5,2016,Fall,Math1111,F,Quiz1,70,33
13C5,2016,Fall,Math1111,F,Quiz2,70,33
13C6,2016,Fall,Math1111,F,Quiz4,70,33
13C6,2016,Fall,Math1111,F,Quiz5,70,33
13C6,2016,Fall,Math1111,F,Test2,70,33
21B28,2016,Spring,192,M,final,75,33
23A20,2016,Fall,MAT192,M,Test1,45,34
31B06,2016,Spring,MATH 2204,M,FINAL,70,34
13C9,2016,Fall,Math1111,M,Quiz6,47,35
13C9,2016,Fall,Math1111,M,Quiz7,47,35
13C9,2016,Fall,Math1111,M,Test3,47,35
13A14,2016,Fall,Math1113,M,Final,76,35
21B2,2016,Spring,192,M,test1,84,35
11C8,2016,Spring,Math 2470,M,test4,54,36
