ID,Year,Semester,Course Number,Gender,AS,StudentsGrade,InstructorsGrade,Difference
31C02,2016,Spring,MATH 2222,1,test1,42,18,-24
41A15,2016,Spring,MATH1120,0,test3,70,18,-52
21B3,2016,Spring,192,0,quiz1,50,20,-30
21B13,2016,Spring,192,1,quiz4,50,20,-30
21C9,2016,Spring,192,1,quiz6,50,20,-30
23A14,2016,Fall,MAT192,0,Quiz2,60,20,-40
21B27,2016,Spring,192,0,quiz6,60,20,-40
21D5,2016,Spring,320,0,quiz1,60,20,-40
23B11,2016,Fall,MAT192,0,Quiz2,70,20,-50
21B24,2016,Spring,192,1,quiz5,70,20,-50
31A08,2016,Spring,MATH 2204,0,Final,80,20,-60
23B7,2016,Fall,MAT192,1,Quiz2,80,20,-60
23B7,2016,Fall,MAT192,1,Quiz8,80,20,-60
21B25,2016,Spring,192,1,quiz6,80,20,-60
21B22,2016,Spring,192,0,quiz2,100,20,-80
41A15,2016,Spring,MATH1120,0,Final,63,21,-42
41A15,2016,Spring,MATH1120,0,test1,70,21,-49
31A03,2016,Spring,MATH 2204,1,Final,50,22,-28
11A9,2016,Spring,Math 1111,0,Quiz4,54,22,-32
13A17,2016,Fall,Math1113,1,Quiz8,81,22,-59
21B24,2016,Spring,192,1,final,65,23,-42
31A06,2016,Spring,MATH 2204,0,test1,75,23,-52
31B22,2016,Spring,MATH 2204,1,FINAL,70,24,-46
31B03,2016,Spring,MATH 2204,0,FINAL,80,24,-56
13C16,2016,Fall,Math1111,0,Quiz1,60,27,-33
13C16,2016,Fall,Math1111,0,Quiz2,60,27,-33
13C16,2016,Fall,Math1111,0,Quiz4,60,27,-33
13C16,2016,Fall,Math1111,0,Quiz5,60,27,-33
13C16,2016,Fall,Math1111,0,Test2,60,27,-33
31A12,2016,Spring,MATH 2204,0,test1,70,28,-42
23A2,2016,Fall,MAT192,1,Test1,38,30,-8
21D6,2016,Spring,320,1,quiz3,40,30,-10
23A15,2016,Fall,MAT192,0,Quiz5,50,30,-20
23B17,2016,Fall,MAT192,0,Quiz4,50,30,-20
23A20,2016,Fall,MAT192,1,Quiz5,50,30,-20
21B18,2016,Spring,192,1,quiz3,50,30,-20
21B23,2016,Spring,192,1,quiz6,50,30,-20
21C11,2016,Spring,192,1,quiz6,50,30,-20
23A20,2016,Fall,MAT192,1,Quiz2,60,30,-30
21B17,2016,Spring,192,1,quiz2,60,30,-30
21B5,2016,Spring,192,1,quiz3,60,30,-30
21C18,2016,Spring,192,1,quiz6,60,30,-30
23B17,2016,Fall,MAT192,0,Quiz7,70,30,-40
21A3,2016,Spring,191,0,quiz8,70,30,-40
23A2,2016,Fall,MAT192,1,Quiz3,70,30,-40
23A2,2016,Fall,MAT192,1,Quiz8,70,30,-40
23A7,2016,Fall,MAT192,1,Quiz8,70,30,-40
21C7,2016,Spring,192,1,quiz6,70,30,-40
21C25,2016,Spring,192,1,quiz6,75,30,-45
23B11,2016,Fall,MAT192,0,Quiz3,80,30,-50
23A10,2016,Fall,MAT192,1,Quiz2,80,30,-50
23B7,2016,Fall,MAT192,1,Quiz4,80,30,-50
21B17,2016,Spring,192,1,quiz1,80,30,-50
21C4,2016,Spring,192,1,quiz6,80,30,-50
21B16,2016,Spring,192,1,quiz2,90,30,-60
21B9,2016,Spring,192,1,quiz6,90,30,-60
23B8,2016,Fall,MAT192,1,Quiz8,100,30,-70
21B17,2016,Spring,192,1,quiz6,100,30,-70
21B24,2016,Spring,192,1,quiz2,100,30,-70
21B24,2016,Spring,192,1,quiz3,100,30,-70
21B25,2016,Spring,192,1,quiz2,100,30,-70
13B2,2016,Fall,Math3650,1,Quiz2,60,31,-29
13B25,2016,Fall,Math3650,1,Quiz5,60,31,-29
13B4,2016,Fall,Math3650,1,Test2,60,31,-29
41A20,2016,Spring,MATH1120,1,Final,33,32,-1
31A07,2016,Spring,MATH 2204,1,Final,75,32,-43
11A16,2016,Spring,Math 1111,1,Quiz4,44,33,-11
31A09,2016,Spring,MATH 2204,0,quiz2,50,33,-17
13C13,2016,Fall,Math1111,0,Quiz1,70,33,-37
13C13,2016,Fall,Math1111,0,Quiz2,70,33,-37
13C14,2016,Fall,Math1111,0,Quiz4,70,33,-37
13C14,2016,Fall,Math1111,0,Quiz5,70,33,-37
13C14,2016,Fall,Math1111,0,Test2,70,33,-37
21B28,2016,Spring,192,1,final,75,33,-42
23A20,2016,Fall,MAT192,1,Test1,45,34,-11
31B06,2016,Spring,MATH 2204,1,FINAL,70,34,-36
13C2,2016,Fall,Math1111,1,Quiz6,47,35,-12
13C2,2016,Fall,Math1111,1,Quiz7,47,35,-12
13C2,2016,Fall,Math1111,1,Test3,47,35,-12
13A1,2016,Fall,Math1113,1,Final,76,35,-41
21B2,2016,Spring,192,1,test1,84,35,-49
11C6,2016,Spring,Math 2470,0,test4,54,36,-18
31B12,2016,Spring,MATH 2204,0,test2,75,36,-39
13A18,2016,Fall,Math1113,1,Quiz6,55,37,-18
13A18,2016,Fall,Math1113,1,Test3,55,37,-18
13C1,2016,Fall,Math1111,0,Test1,70,37,-33
13C13,2016,Fall,Math1111,0,Final,75,37,-38
13C13,2016,Fall,Math1111,0,Quiz8,75,37,-38
13B6,2016,Fall,Math3650,1,Quiz2,80,38,-42
13B7,2016,Fall,Math3650,1,Quiz5,80,38,-42
13B8,2016,Fall,Math3650,1,Test2,80,38,-42
31B01,2016,Spring,MATH 2204,1,FINAL,90,38,-52
23B11,2016,Fall,MAT192,0,Test1,64,39,-25
41A20,2016,Spring,MATH1120,1,test2,70,39,-31
23B8,2016,Fall,MAT192,1,Test1,75,39,-36
21B9,2016,Spring,192,1,test2,75,39,-36
13A2,2016,Fall,Math1113,0,Final,77,39,-38
23B8,2016,Fall,MAT192,1,Quiz1,40,40,0
21B28,2016,Spring,192,1,quiz1,40,40,0
21C23,2016,Spring,192,0,quiz3,50,40,-10
21D3,2016,Spring,320,0,quiz3,50,40,-10
23A7,2016,Fall,MAT192,1,Quiz5,50,40,-10
11A16,2016,Spring,Math 1111,1,Test2,50,40,-10
21B9,2016,Spring,192,1,quiz1,50,40,-10
21B9,2016,Spring,192,1,quiz5,50,40,-10
23B16,2016,Fall,MAT192,0,Quiz3,60,40,-20
21C22,2016,Spring,192,0,quiz1,60,40,-20
21D4,2016,Spring,320,0,quiz3,60,40,-20
21B4,2016,Spring,192,1,quiz2,60,40,-20
13A3,2016,Fall,Math1113,1,Final,64,40,-24
13C1,2016,Fall,Math1111,0,Quiz3,70,40,-30
13C14,2016,Fall,Math1111,0,Quiz6,70,40,-30
13C14,2016,Fall,Math1111,0,Quiz7,70,40,-30
13C14,2016,Fall,Math1111,0,Test3,70,40,-30
11A9,2016,Spring,Math 1111,0,Test2,70,40,-30
23A10,2016,Fall,MAT192,1,Quiz5,70,40,-30
11A17,2016,Spring,Math 1111,1,Test2,70,40,-30
21B11,2016,Spring,192,1,quiz2,70,40,-30
21B2,2016,Spring,192,1,quiz1,70,40,-30
21D13,2016,Spring,320,1,quiz3,70,40,-30
23B11,2016,Fall,MAT192,0,Quiz4,80,40,-40
21A2,2016,Spring,191,0,quiz4,80,40,-40
31B19,2016,Spring,MATH 2204,0,quiz2,80,40,-40
21C7,2016,Spring,192,1,quiz3,80,40,-40
21B19,2016,Spring,192,0,quiz1,85,40,-45
21C13,2016,Spring,192,0,quiz1,90,40,-50
21C13,2016,Spring,192,0,quiz2,90,40,-50
21C2,2016,Spring,192,0,quiz3,90,40,-50
31B14,2016,Spring,MATH 2204,0,quiz2,90,40,-50
21C20,2016,Spring,192,1,quiz3,90,40,-50
21C20,2016,Spring,192,1,quiz6,90,40,-50
23A14,2016,Fall,MAT192,0,Quiz8,100,40,-60
21A1,2016,Spring,191,0,quiz6,100,40,-60
21B26,2016,Spring,192,0,quiz1,100,40,-60
21B4,2016,Spring,192,1,quiz1,100,40,-60
11A11,2016,Spring,Math 1111,0,Quiz4,34,41,7
21C6,2016,Spring,192,0,test2,51,41,-10
11A15,2016,Spring,Math 1111,1,Quiz1,55,41,-14
13A4,2016,Fall,Math1113,0,Final,66,41,-25
31B22,2016,Spring,MATH 2204,1,test1,70,41,-29
13C14,2016,Fall,Math1111,0,Final,41,42,1
13C14,2016,Fall,Math1111,0,Quiz8,41,42,1
23B17,2016,Fall,MAT192,0,Test1,61,42,-19
11A12,2016,Spring,Math 1111,1,Quiz4,45,43,-2
21D12,2016,Spring,320,1,test1,50,43,-7
13A22,2016,Fall,Math1113,0,Quiz7,59,43,-16
13C15,2016,Fall,Math1111,0,Quiz6,80,43,-37
13C15,2016,Fall,Math1111,0,Quiz7,80,43,-37
13C15,2016,Fall,Math1111,0,Test3,80,43,-37
21B4,2016,Spring,192,1,test3,93,43,-50
21B4,2016,Spring,192,1,test1,95,43,-52
31A04,2016,Spring,MATH 2204,0,Final,55,44,-11
31B16,2016,Spring,MATH 2204,0,quiz1,60,44,-16
21B25,2016,Spring,192,1,test3,60,44,-16
31B13,2016,Spring,MATH 2204,1,FINAL,65,44,-21
31B12,2016,Spring,MATH 2204,0,test1,70,44,-26
13A13,2016,Fall,Math1113,0,Quiz7,76,44,-32
31A04,2016,Spring,MATH 2204,0,quiz2,90,44,-46
11A10,2016,Spring,Math 1111,0,Test2,40,45,5
31C04,2016,Spring,MATH 2222,0,test1,42,45,3
23A20,2016,Fall,MAT192,1,Quiz4,50,45,-5
23B2,2016,Fall,MAT192,1,Test1,50,45,-5
13A12,2016,Fall,Math1113,0,Quiz6,51,45,-6
13A12,2016,Fall,Math1113,0,Test3,51,45,-6
13C5,2016,Fall,Math1111,1,Test1,65,45,-20
23A10,2016,Fall,MAT192,1,Test1,68,45,-23
23B7,2016,Fall,MAT192,1,Test1,68,45,-23
31C02,2016,Spring,MATH 2222,1,FINAL,68,45,-23
23B11,2016,Fall,MAT192,0,Quiz7,70,45,-25
13C4,2016,Fall,Math1111,1,Quiz4,70,45,-25
13C4,2016,Fall,Math1111,1,Quiz5,70,45,-25
13C4,2016,Fall,Math1111,1,Test2,70,45,-25
21B17,2016,Spring,192,1,test3,70,45,-25
31B22,2016,Spring,MATH 2204,1,test2,70,45,-25
11A2,2016,Spring,Math 1111,0,Quiz4,40,46,6
13A3,2016,Fall,Math1113,1,Quiz6,65,46,-19
13A3,2016,Fall,Math1113,1,Test3,65,46,-19
13A6,2016,Fall,Math1113,1,Final,68,46,-22
13A6,2016,Fall,Math1113,1,Quiz7,68,46,-22
13A5,2016,Fall,Math1113,0,Final,77,46,-31
21B29,2016,Spring,192,1,test1,85,46,-39
13C15,2016,Fall,Math1111,0,Final,40,47,7
13C15,2016,Fall,Math1111,0,Quiz8,40,47,7
41A32,2016,Spring,MATH1120,1,Final,61,47,-14
13C5,2016,Fall,Math1111,1,Quiz4,70,47,-23
13C5,2016,Fall,Math1111,1,Quiz5,70,47,-23
13C5,2016,Fall,Math1111,1,Test2,70,47,-23
11A1,2016,Spring,Math 1111,0,final,72,47,-25
13B6,2016,Fall,Math3650,1,Quiz1,81,47,-34
13B6,2016,Fall,Math3650,1,Quiz4,81,47,-34
13B8,2016,Fall,Math3650,1,Test1,81,47,-34
21B25,2016,Spring,192,1,final,90,47,-43
11A13,2016,Spring,Math 1111,1,Quiz4,59,48,-11
41A22,2016,Spring,MATH1120,1,Final,66,48,-18
31B05,2016,Spring,MATH 2204,0,test1,70,48,-22
13A15,2016,Fall,Math1113,1,Quiz7,71,48,-23
21C13,2016,Spring,192,0,final,73,48,-25
13A2,2016,Fall,Math1113,0,Quiz6,75,48,-27
13A2,2016,Fall,Math1113,0,Test3,75,48,-27
21B8,2016,Spring,192,1,test1,78,48,-30
21B4,2016,Spring,192,1,test2,95,48,-47
21D5,2016,Spring,320,0,test1,52,49,-3
13A4,2016,Fall,Math1113,0,Quiz2,58,49,-9
13A4,2016,Fall,Math1113,0,Quiz5,58,49,-9
13A4,2016,Fall,Math1113,0,Test2,58,49,-9
13A8,2016,Fall,Math1113,0,Final,60,49,-11
11C11,2016,Spring,Math 2470,1,test2,60,49,-11
13C13,2016,Fall,Math1111,0,Test1,65,49,-16
13C14,2016,Fall,Math1111,0,Quiz1,65,49,-16
13C14,2016,Fall,Math1111,0,Quiz2,65,49,-16
13C14,2016,Fall,Math1111,0,Quiz3,65,49,-16
23A18,2016,Fall,MAT192,0,Test1,73,49,-24
13C6,2016,Fall,Math1111,1,Quiz1,73,49,-24
13C6,2016,Fall,Math1111,1,Quiz2,73,49,-24
13C6,2016,Fall,Math1111,1,Quiz3,73,49,-24
13C7,2016,Fall,Math1111,1,Test1,73,49,-24
13B21,2016,Fall,Math3650,1,Quiz1,75,49,-26
13B21,2016,Fall,Math3650,1,Quiz4,75,49,-26
13B21,2016,Fall,Math3650,1,Quiz6,75,49,-26
13B21,2016,Fall,Math3650,1,Test1,75,49,-26
13B21,2016,Fall,Math3650,1,Test3,75,49,-26
13A21,2016,Fall,Math1113,0,Quiz7,76,49,-27
21D4,2016,Spring,320,0,test2,80,49,-31
13C5,2016,Fall,Math1111,1,Quiz1,80,49,-31
13C5,2016,Fall,Math1111,1,Quiz2,80,49,-31
13C5,2016,Fall,Math1111,1,Quiz3,80,49,-31
13C6,2016,Fall,Math1111,1,Test1,80,49,-31
21B24,2016,Spring,192,1,test1,83,49,-34
21C7,2016,Spring,192,1,test2,90,49,-41
41A18,2016,Spring,MATH1120,1,test1,37,50,13
11A3,2016,Spring,Math 1111,0,Quiz4,38,50,12
23A18,2016,Fall,MAT192,0,Quiz5,40,50,10
23B14,2016,Fall,MAT192,1,Quiz1,40,50,10
21D9,2016,Spring,320,1,quiz6,40,50,10
23A18,2016,Fall,MAT192,0,Quiz1,50,50,0
23B16,2016,Fall,MAT192,0,Quiz1,50,50,0
23B16,2016,Fall,MAT192,0,Quiz5,50,50,0
23B17,2016,Fall,MAT192,0,Quiz6,50,50,0
23B4,2016,Fall,MAT192,0,Quiz5,50,50,0
21C6,2016,Spring,192,0,quiz1,50,50,0
21D14,2016,Spring,320,0,quiz4,50,50,0
21D2,2016,Spring,320,0,quiz4,50,50,0
23B5,2016,Fall,MAT192,1,Quiz4,50,50,0
23B5,2016,Fall,MAT192,1,Quiz7,50,50,0
21B11,2016,Spring,192,1,quiz1,50,50,0
21B13,2016,Spring,192,1,quiz2,50,50,0
21B6,2016,Spring,192,1,quiz3,50,50,0
21B9,2016,Spring,192,1,quiz2,50,50,0
21C21,2016,Spring,192,1,quiz3,50,50,0
21B22,2016,Spring,192,0,quiz5,60,50,-10
21B4,2016,Spring,192,1,quiz3,60,50,-10
31B15,2016,Spring,MATH 2204,1,quiz2,60,50,-10
31A17,2016,Spring,MATH 2204,0,Final,69,50,-19
23B11,2016,Fall,MAT192,0,Quiz5,70,50,-20
23B17,2016,Fall,MAT192,0,Test2,70,50,-20
